,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type
0,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Tier 1,Supermarket Type1
1,Regular,0.038427677,Dairy,87.3198,OUT017,2007,Tier 2,Supermarket Type1
2,Low Fat,0.099574908,Others,241.7538,OUT010,1998,Tier 3,Grocery Store
3,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,Tier 2,Supermarket Type1
4,Regular,0.118599314,Dairy,234.23,OUT027,1985,Tier 3,Supermarket Type3
5,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Tier 1,Supermarket Type1
6,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Tier 3,Supermarket Type2
7,Low Fat,0.015782495,Baking Goods,81.0592,OUT027,1985,Tier 3,Supermarket Type3
8,Regular,0.123365446,Snack Foods,95.7436,OUT045,2002,Tier 2,Supermarket Type1
9,Low Fat,0.005698435,Baking Goods,186.8924,OUT017,2007,Tier 2,Supermarket Type1
10,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,Tier 2,Supermarket Type1
11,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,Tier 2,Supermarket Type1
12,Low Fat,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Tier 1,Grocery Store
13,Low Fat,0.092737611,Breads,122.3098,OUT049,1999,Tier 1,Supermarket Type1
14,Low Fat,0.021206464,Hard Drinks,52.0298,OUT013,1987,Tier 3,Supermarket Type1
15,Regular,0.0794507,Baking Goods,151.6366,OUT049,1999,Tier 1,Supermarket Type1
16,Low Fat,0.05413521,Seafood,198.7768,OUT045,2002,Tier 2,Supermarket Type1
17,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Tier 3,Supermarket Type2
18,Low Fat,0.028184344,Household,109.6912,OUT027,1985,Tier 3,Supermarket Type3
19,Low Fat,0.196897637,Snack Foods,193.7136,OUT010,1998,Tier 3,Grocery Store
20,Low Fat,0.109920138,Fruits and Vegetables,175.008,OUT013,1987,Tier 3,Supermarket Type1
21,Low Fat,0.182619235,Others,239.9196,OUT035,2004,Tier 2,Supermarket Type1
22,Low Fat,0.065630844,Frozen Foods,47.7402,OUT046,1997,Tier 1,Supermarket Type1
23,Low Fat,0.027447057,Others,142.347,OUT019,1985,Tier 1,Grocery Store
24,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Tier 2,Supermarket Type1
25,Regular,0.038455125,Snack Foods,209.4928,OUT010,1998,Tier 3,Grocery Store
26,Low Fat,0.035102094,Household,47.6034,OUT035,2004,Tier 2,Supermarket Type1
27,Low Fat,0.091485232,Household,161.3894,OUT046,1997,Tier 1,Supermarket Type1
28,Low Fat,0.058102469,Dairy,244.6802,OUT046,1997,Tier 1,Supermarket Type1
29,Low Fat,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Tier 2,Supermarket Type1
30,Low Fat,0.06737681,Household,32.09,OUT019,1985,Tier 1,Grocery Store
31,Regular,0.022148582,Meat,194.9452,OUT018,2009,Tier 3,Supermarket Type2
32,Low Fat,0.006792707,Household,42.4112,OUT018,2009,Tier 3,Supermarket Type2
33,Regular,0.024870035,Fruits and Vegetables,217.7508,OUT027,1985,Tier 3,Supermarket Type3
34,Low Fat,0.096931426,Breads,164.2552,OUT017,2007,Tier 2,Supermarket Type1
35,Regular,0.008693632,Meat,205.098,OUT027,1985,Tier 3,Supermarket Type3
36,Low Fat,0.078961284,Canned,80.3644,OUT027,1985,Tier 3,Supermarket Type3
37,Low Fat,0.050479463,Baking Goods,114.0176,OUT010,1998,Tier 3,Grocery Store
38,Low Fat,0.089485918,Household,192.1504,OUT017,2007,Tier 2,Supermarket Type1
39,Low Fat,0.01594238,Household,103.3964,OUT027,1985,Tier 3,Supermarket Type3
40,Low Fat,0.029127115,Household,143.3786,OUT018,2009,Tier 3,Supermarket Type2
